Centroid X,Centroid Y,Area,Eccentricity,Mean Intensity,Max Intensity
147.321,489.75,28.0,0.636,214.852,255.0
148.65,665.6,20.0,0.608,200.414,255.0
200.5,765.773,22.0,0.643,199.459,255.0
266.6,668.175,40.0,0.902,205.296,255.0
297.514,977.108,37.0,0.808,198.636,255.0
312.78,273.16,50.0,0.866,198.872,255.0
345.639,755.472,36.0,0.857,200.853,255.0
351.071,1153.381,42.0,0.906,202.901,255.0
355.256,459.814,43.0,0.727,216.182,255.0
390.583,918.542,24.0,0.726,201.877,255.0
434.478,747.913,23.0,0.671,207.534,255.0
471.196,1210.37,46.0,0.91,204.284,255.0
511.826,1198.261,23.0,0.765,208.505,255.0
513.75,520.85,20.0,0.752,202.187,255.0
525.4,967.84,25.0,0.831,207.8,255.0
540.81,173.714,21.0,0.795,198.901,255.0
579.81,420.0,21.0,0.769,208.599,255.0
595.667,928.667,24.0,0.491,214.703,255.0
632.286,170.286,21.0,0.815,202.84,255.0
639.625,598.732,56.0,0.756,215.531,255.0
654.65,1240.3,80.0,0.854,204.283,255.0
668.333,62.542,24.0,0.852,210.953,255.0
693.9,476.7,20.0,0.765,208.319,255.0
705.655,485.0,29.0,0.703,213.213,255.0
733.489,729.022,90.0,0.934,212.998,255.0
727.833,555.667,18.0,0.699,207.835,255.0
737.433,1003.467,30.0,0.554,212.222,255.0
741.286,1218.095,21.0,0.794,217.181,255.0
753.953,119.312,64.0,0.718,207.632,255.0
768.031,1060.812,32.0,0.768,200.247,255.0
797.914,652.357,70.0,0.861,212.49,255.0
809.042,1380.5,24.0,0.849,208.626,255.0
823.143,1329.679,28.0,0.801,208.169,255.0
825.097,632.935,31.0,0.641,200.816,255.0
831.818,511.97,33.0,0.72,217.491,255.0
831.174,632.609,23.0,0.651,208.907,255.0
846.455,536.836,55.0,0.566,221.41,255.0
850.632,51.474,19.0,0.681,203.115,255.0
896.024,477.571,42.0,0.946,199.423,255.0
948.091,99.273,33.0,0.732,215.187,255.0
948.87,981.087,23.0,0.796,200.66,255.0
956.105,100.0,19.0,0.852,208.757,255.0
965.476,1319.095,21.0,0.822,198.85,255.0
989.22,1083.171,41.0,0.808,211.381,255.0
1043.545,60.364,22.0,0.704,221.742,255.0
1043.906,1043.312,32.0,0.756,218.508,255.0
1049.032,1075.935,31.0,0.793,215.258,255.0
1060.941,730.353,34.0,0.722,219.883,255.0
1092.633,321.367,30.0,0.756,216.941,255.0
1114.038,31.0,26.0,0.788,203.6,255.0
1152.278,652.25,36.0,0.75,217.729,255.0
1163.227,1253.0,22.0,0.747,200.016,255.0
1171.932,763.727,44.0,0.854,222.88,255.0
1190.923,226.59,78.0,0.808,200.73,255.0
1202.2,1307.164,55.0,0.658,203.787,255.0
1239.721,572.442,43.0,0.882,206.665,255.0
1243.433,411.6,30.0,0.739,210.518,255.0
1246.556,724.833,18.0,0.789,206.904,255.0
1250.16,1291.88,75.0,0.884,221.414,255.0
1254.688,1208.948,96.0,0.917,206.569,255.0
1262.208,387.396,53.0,0.933,204.31,255.0
1265.0,486.812,32.0,0.871,201.845,255.0
1270.2,508.492,65.0,0.822,200.548,255.0
1270.048,1154.524,21.0,0.768,213.387,255.0
1272.914,487.793,58.0,0.864,201.313,255.0
1276.579,1269.579,19.0,0.755,203.319,255.0
1279.294,636.5,34.0,0.785,221.855,255.0
1290.318,260.035,85.0,0.857,210.504,255.0
1288.654,441.154,26.0,0.806,199.031,255.0
1315.143,583.029,35.0,0.684,226.625,255.0
1321.375,94.536,56.0,0.941,208.407,255.0
1338.75,622.679,28.0,0.706,207.908,255.0
1343.543,429.152,46.0,0.762,201.365,255.0
1356.873,382.545,55.0,0.743,221.476,255.0
1359.045,542.727,22.0,0.686,225.17,255.0
1365.667,540.75,24.0,0.704,211.177,255.0
1384.303,1107.091,33.0,0.951,207.922,255.0
1395.737,184.237,38.0,0.858,227.334,255.0
